coeff,lma,n,p,sla
1390,29760.02065864843,0.013867038778693849,11908.521004468534,-1.272047416561198
1400,41921.44770119026,0.02040281916152771,22588.866284123353,-1.4037132073127805
1410,31181.703916168513,0.014400992862371042,9838.494929381593,-0.850923677394862
1420,17819.61094728443,0.007023416075909362,-3614.472001090216,-0.29621818184632237
1430,12602.878272096614,0.00499636491675287,-6850.064131103322,-0.09735613817383808
1440,8740.647548632056,0.004871265239936086,-8417.509461327627,-0.01689719333512476
1450,13654.131735181638,0.009217347870437891,573.0596781195626,-0.2342036728117961
1460,15445.672379178795,0.011364951118509908,5271.522934503473,-0.3563591692935908
1470,3.43022282573894,0.0041421453996829715,-10971.196694974065,0.0849350931681541
1480,-12350.7690328924,-0.0017787893941066172,-23311.428066405777,0.406775536530037
1490,-6441.94619488761,8.026494338814704e-4,-12705.942771622758,0.18637938416391803
1500,-3641.7158693645997,0.0018077119661808333,-6668.133323070348,0.04602552090377284
1510,-6767.794238477079,-6.211132284631401e-4,-8165.610217264455,0.11878859462849323
1520,-9701.45572164128,-0.0031574506478680127,-9420.754967497098,0.20551711018199006
1530,-12189.588762421547,-0.0056026958800643005,-10690.97548284439,0.2776280223748627
1540,-14373.97097044357,-0.00881063643983006,-11999.33497173181,0.3841714406996062
1550,-16092.008119312582,-0.011616484792125589,-13241.25892716449,0.47000475255606455
1560,-17820.462313828204,-0.014761479659812685,-14203.48608527907,0.5978297152754445
1570,-19302.737376512032,-0.017543811762099123,-15264.802681389072,0.7063368701915993
1580,-19492.712145021676,-0.019089494579792473,-15048.072728618577,0.7366677799553291
1590,-17458.636118049173,-0.01847215943936959,-12136.333403485618,0.6609071703061384
1600,-14853.16253690772,-0.01663662656328544,-8810.81491260876,0.5378643186984733
1610,-11720.502549636003,-0.014801280313386268,-4981.540545312892,0.4170128540687589
1620,-8601.114301159421,-0.01259357743543841,-1226.0197495795362,0.2729014258244338
1630,-7715.239064442031,-0.012354819598603094,-252.38142341507495,0.24980951823254735
1640,-7699.041080573658,-0.01301584927127447,-333.129913856058,0.26629764935964134
1650,-8859.581633307047,-0.01599774429833444,-1472.362793600602,0.3975847751250482
1660,-11396.55093069906,-0.020224056628484286,-4635.113602825205,0.6012769813933695
1670,-11955.245609993444,-0.022069142878773963,-5149.469285642272,0.6888411882930132
1680,-13836.629079362687,-0.025870149468313047,-6967.9050407002205,0.8732745883612815
1690,-16860.10973081916,-0.030847260869516065,-10201.386141117477,1.1257233495365346
1700,-21084.675936606778,-0.036952458431194005,-15386.80046568026,1.4417994022978278
1710,-23493.531199405385,-0.04119761640343382,-19017.338364745974,1.6551102643339124
1720,-22843.546594169155,-0.0414869373541937,-19220.557236040127,1.662169791132461
1730,-21011.30880470818,-0.03841078398808775,-18051.37447004881,1.5172412181735264
1740,-19101.59534582578,-0.035039932973010106,-17248.302401278856,1.35526259373988
1750,-12404.979570859135,-0.03023724265074434,-10703.08967528723,1.0897550964282938
1760,-3899.7350748679273,-0.02348831232617567,-2206.044983342655,0.7068506738618833
1770,2962.122464017978,-0.016807600922445085,4200.012114404673,0.3372078038037817
1780,10850.919343287123,-0.01091461414200256,12870.704811456106,-0.0046347061485672485
1790,15595.25501335764,-0.007382051292336775,18122.18525818638,-0.2120867653955141
1800,16660.965141509132,-0.006033611696144008,19152.366093795084,-0.2898925208013143
1810,19061.153795885883,-0.003788794322870423,21432.92532447845,-0.4221297424966906
1820,671.2973253093952,-0.013936766957457186,-1594.399345758043,0.24392222818905793
1830,5077.051744599954,-0.008961616296628113,2824.6009248406926,-0.024901112507968823
1840,27741.149108823352,0.008019607163362525,29348.540976466407,-1.0202516789960008
1850,-21925.3315390202,-0.013016873211150684,-34968.58712367094,0.3588614168170377
1860,-21162.391903178446,-0.007724488885224298,-38301.301604604334,0.2603636165900524
1870,43651.33935592272,0.03219038237713576,35516.07366335587,-1.819946252869856
1880,71670.59218312103,0.05031637414353993,66500.23197396682,-2.5107009263355824
1890,73804.14507372983,0.050736475744369625,72901.70986156455,-2.1504708178850125
1900,63033.732726351365,0.044444238733823575,65949.24697633008,-1.543325610912528
1910,48567.36914969649,0.0394246564607664,50214.87680793095,-1.1979911583240523
1920,42913.68937812465,0.039663133620718,42892.589969065295,-1.2797601161253433
1930,42854.300094438935,0.04193888817925785,41817.8757032226,-1.4915605940046488
1940,44717.264389319425,0.04458747764352056,43553.04479394067,-1.6984592680224204
1950,45273.935805174275,0.04638798224526726,44201.10837275451,-1.827962642500313
1960,45523.807018686406,0.04764083341424774,44785.3112616694,-1.9235849641334286
1970,49154.521476287024,0.050031470819683156,50138.65748495704,-2.110242204139897
1980,50371.10878199127,0.05117471378043046,52768.76040806103,-2.2044403176488454
1990,49018.40943682651,0.05077515947920646,52074.987219379356,-2.20622454283932
2000,46823.95792165637,0.049518403496182015,50720.69737952061,-2.168989298438969
2010,35929.00189024716,0.043225609029575014,38798.17673819388,-1.814144255079487
2020,21411.67751783596,0.034355586258298695,23345.25609779866,-1.3105720668584007
2030,17041.701292901755,0.029778318879009846,21841.440912780643,-1.094843693156308
2040,9719.384008901132,0.02310185771967935,17004.4028078505,-0.7388687750308088
2050,-2169.8669463773517,0.013729310405259406,5320.278366488471,-0.21947167561704137
2060,-14117.3483902283,0.004081386950429619,-7526.584801291811,0.313123263944529
2070,-21903.43128134623,-0.0030015640576548114,-16391.19662860313,0.6677623286091926
2080,-28396.25390091158,-0.009408023545900064,-23694.91242987863,0.9817660161658323
2090,-35028.80863952639,-0.01608607518187557,-31167.86998447407,1.323082638945244
2100,-40165.75036965644,-0.02192242670988874,-37236.971901905374,1.6031160197629308
2110,-43135.58919888995,-0.026647395843209656,-40796.15582128,1.8242610273795496
2120,-44329.72402463845,-0.030178299205003506,-42420.419972862546,1.9693021245156541
2130,-43473.81868675484,-0.032069009267835534,-41204.27150903031,2.0294488987756583
2140,-40930.78592448621,-0.032315707850213565,-37930.442103031855,1.9994282152220084
2150,-38353.516167912894,-0.031976507985470276,-34809.05990703685,1.9365255284051726
